ID,source,question,procedure,answer
265,MINTQA-POP,"Read the following context: ['Kanyakumari district located in the administrative territorial entity Tamil Nadu, Kanyakumari district capital Nagercoil, Kanyakumari district country India'] Now please respond: In which country is Kanyakumari district located?","[['Kanyakumari district', 'country', 'India']]",India
266,MINTQA-POP,"Read the following context: ['Brittany instance of historical province of France, Brittany located in the administrative territorial entity Metropolitan France, Brittany located in the administrative territorial entity France, Brittany located in the administrative territorial entity Welsh, Brittany located in the administrative territorial entity Pays de la Loire, Brittany language used Gallo, Brittany instance of region of France, Brittany located in or next to body of water Atlantic Ocean, Brittany instance of given name, Brittany instance of France, Brittany instance of geographic region, Brittany office held by head of government President, Brittany country French, Brittany country French of France, Brittany instance of peninsula, Brittany shares border with Vendée, Brittany language used Gallo, Brittany subclass of Insular Celtic, Brittany instance of administrative territorial entity, Brittany language used Breton, Brittany shares border with Loire-Atlantique, Brittany located in or next to body of water Atlantic Coast, Brittany language used Cornish, Brittany capital Rennes, Brittany subclass of Celtic, Brittany shares border with Anjou, Brittany located in or next to body of water English Channel, Brittany country France, Brittany language used Breton, Brittany part of Armorica'] Now please respond: Which country is Brittany a part of?","[['Brittany', 'country', 'France']]",France
267,MINTQA-POP,"Read the following context: ['National Register of Historic Places is a list of district, National Register of Historic Places is a list of California, National Register of Historic Places country United States of America, National Register of Historic Places is a list of National Register of Historic Places, National Register of Historic Places located in the administrative territorial entity Washington, D.C., National Register of Historic Places country American, National Register of Historic Places applies to jurisdiction Illinois, National Register of Historic Places is a list of Listed, National Register of Historic Places inception 2007, National Register of Historic Places maintained by National Park Service, National Register of Historic Places is a list of geographic location, National Register of Historic Places located in the administrative territorial entity Pittsburgh, National Register of Historic Places maintained by United States Forest Service, National Register of Historic Places is a list of list of heritage registers, National Register of Historic Places inception 1996, National Register of Historic Places inception 1979, National Register of Historic Places inception 2004, National Register of Historic Places applies to jurisdiction Missouri, National Register of Historic Places applies to jurisdiction Pennsylvania, National Register of Historic Places applies to jurisdiction United States Virgin Islands, National Register of Historic Places maintained by United States Department of the Interior, National Register of Historic Places is a list of National Historic Landmark, National Register of Historic Places country American ethnicity, National Register of Historic Places maintained by National Trust for Historic Preservation, National Register of Historic Places is a list of Indiana, National Register of Historic Places is a list of historic site, National Register of Historic Places is a list of New York, National Register of Historic Places inception 1992, National Register of Historic Places inception 1977, National Register of Historic Places is a list of property, National Register of Historic Places inception 1966, National Register of Historic Places inception 2006, National Register of Historic Places is a list of historic district, National Register of Historic Places applies to jurisdiction Oregon, National Register of Historic Places applies to jurisdiction Maine'] Now please respond: In which country is the National Register of Historic Places located?","[['National Register of Historic Places', 'country', 'United States of America']]",United States of America
268,MINTQA-POP,"Read the following context: [""Michigan capital Lansing, Michigan part of Upper Midwest, Michigan located in or next to body of water Lake Superior, Michigan shares border with Gogebic County, Michigan capital Ann Arbor, Michigan contains Washtenaw, Michigan country American ethnicity, Michigan office held by head of government Michigan Secretary of State, Michigan office held by head of government governor, Michigan instance of State, Michigan shares border with Upper Canada, Michigan sport college basketball, Michigan located in or next to body of water Detroit River, Michigan record label Asthmatic Kitty, Michigan inception 1905, Michigan located in or next to body of water Huron, Michigan shares border with Utah, Michigan located in or next to body of water Mississippi, Michigan office held by head of government Michigan Attorney General, Michigan language used Ojibwe, Michigan sport ice hockey, Michigan league Big Ten Conference, Michigan part of Great Lakes, Michigan continent North America, Michigan shares border with Pennsylvania, Michigan inception 1837, Michigan located in or next to body of water Wisconsin, Michigan located in or next to body of water St. Lawrence River, Michigan located in or next to body of water Great Lakes, Michigan located in or next to body of water Lake Huron, Michigan located in the administrative territorial entity American ethnicity, Michigan located in or next to body of water Erie, Michigan shares border with Wisconsin, Michigan located in or next to body of water Grand River, Michigan country United States of America, Michigan sport American football, Michigan manufacturer New York Shipbuilding Corporation, Michigan head of government Gretchen Whitmer, Michigan shares border with Minnesota, Michigan located in or next to body of water Saginaw River, Michigan publication date 2003, Michigan office held by head of government list of governors of Michigan, Michigan sport Michigan Wolverines men's basketball, Michigan located in or next to body of water Lake Erie, Michigan legislative body legislature of a constituent state, Michigan located in or next to body of water United States of America, Michigan country American, Michigan language used Potawatomi, Michigan located in or next to body of water Emmet County, Michigan located in or next to body of water Straits of Mackinac, Michigan capital Lansing–East Lansing metropolitan area, Michigan authority state government, Michigan located in or next to body of water Presque Isle County""] Now please respond: Which country does Michigan belong to?","[['Michigan', 'country', 'United States of America']]",United States of America
269,MINTQA-POP,"Read the following context: ['Puy-de-D?me instance of Department, Puy-de-D?me located in the administrative territorial entity Clermont-Ferrand, Puy-de-D?me instance of department, Puy-de-D?me located in the administrative territorial entity Auvergne-Rh?ne-Alpes, Puy-de-D?me shares border with Corrèze, Puy-de-D?me instance of Auvergne-Rh?ne-Alpes, Puy-de-D?me country French of France, Puy-de-D?me capital Clermont-Ferrand, Puy-de-D?me country France'] Now please respond: In which country is Puy-de-D?me located?","[['Puy-de-D?me', 'country', 'France']]",France
270,MINTQA-POP,"Read the following context: ['Auvergne-Rh?ne-Alpes instance of France, Auvergne-Rh?ne-Alpes replaces Rh?ne-Alpes, Auvergne-Rh?ne-Alpes country France, Auvergne-Rh?ne-Alpes capital Lyon, Auvergne-Rh?ne-Alpes capital Chambéry, Auvergne-Rh?ne-Alpes instance of geographic region, Auvergne-Rh?ne-Alpes named after Loire, Auvergne-Rh?ne-Alpes replaces Auvergne, Auvergne-Rh?ne-Alpes legislative body Regional Council of Rh?ne-Alpes, Auvergne-Rh?ne-Alpes legislative body Regional Council of Auvergne, Auvergne-Rh?ne-Alpes shares border with Valais, Auvergne-Rh?ne-Alpes instance of administrative territorial entity, Auvergne-Rh?ne-Alpes country All, Auvergne-Rh?ne-Alpes shares border with Canton of Geneva, Auvergne-Rh?ne-Alpes country French, Auvergne-Rh?ne-Alpes country French of France, Auvergne-Rh?ne-Alpes country IS, Auvergne-Rh?ne-Alpes located in the administrative territorial entity Metropolitan France, Auvergne-Rh?ne-Alpes contains Loire'] Now please respond: Which country is Auvergne-Rh?ne-Alpes located in?","[['Auvergne-Rh?ne-Alpes', 'country', 'France']]",France
271,MINTQA-POP,"Read the following context: ['Sydney Central Business District located in the administrative territorial entity City of Sydney, Sydney Central Business District located in the administrative territorial entity City of Parramatta Council, Sydney Central Business District located in the administrative territorial entity New South Wales, Sydney Central Business District country Australia, Sydney Central Business District instance of New South, Sydney Central Business District located in the administrative territorial entity Australia, Sydney Central Business District located in the administrative territorial entity Sydney'] Now please respond: In which country is the Sydney Central Business District located?","[['Sydney Central Business District', 'country', 'Australia']]",Australia
272,MINTQA-POP,"Read the following context: ['Boston Bruins sport National Hockey League, Boston Bruins part of Eastern Conference, Boston Bruins inception 1924, Boston Bruins participant in 1935-36 NHL season, Boston Bruins part of Atlantic Division, Boston Bruins league National Hockey League, Boston Bruins headquarters location Boston, Boston Bruins sport National, Boston Bruins country American, Boston Bruins home venue TD Garden, Boston Bruins sport ice hockey, Boston Bruins part of Original Six'] Now please respond: In which league do the Boston Bruins play?","[['Boston Bruins', 'league', 'National Hockey League']]",National Hockey League
273,MINTQA-POP,"Read the following context: ['Tasmania office held by head of government premier, Tasmania language used Northeastern Tasmanian, Tasmania instance of family name, Tasmania sport cricket, Tasmania record label Interscope Records, Tasmania located in the administrative territorial entity Tasmania, Tasmania office held by head of government governor, Tasmania legislative body house of assembly, Tasmania located in or next to body of water Southern Ocean, Tasmania instance of State, Tasmania located in the administrative territorial entity Australia, Tasmania continent Australasia, Tasmania capital Australia, Tasmania office held by head of government Governor of Tasmania, Tasmania located in or next to body of water Victoria, Tasmania authority Department of Education, Tasmania sport Australian rules football, Tasmania country Melbourne, Tasmania capital Launceston, Tasmania contains West Tamar Council, Tasmania shares border with Victoria, Tasmania language used Nuenonne, Tasmania capital Hobart, Tasmania shares border with New South Wales, Tasmania country Victoria, Tasmania office held by head of government Premier of Tasmania, Tasmania home venue Hobart, Tasmania located in or next to body of water Indian Ocean, Tasmania contains Glenorchy, Tasmania instance of island country, Tasmania part of Austral, Tasmania shares border with Victoria, Tasmania legislative body Tasmanian House of Assembly, Tasmania located in or next to body of water Bass Strait, Tasmania legislative body Parliament of Tasmania, Tasmania country Australia, Tasmania located in the administrative territorial entity New Zealand, Tasmania located in the administrative territorial entity Victoria, Tasmania located in or next to body of water Tasman Sea, Tasmania authority Government of Tasmania'] Now please respond: What country is Tasmania a part of?","[['Tasmania', 'country', 'Australia']]",Australia
274,MINTQA-POP,"Read the following context: ['Drenthe shares border with Overijssel, Drenthe located in the administrative territorial entity Michigan, Drenthe shares border with Friesland, Drenthe shares border with Groningen, Drenthe legislative body States-Provincial of Drenthe, Drenthe capital Assen, Drenthe instance of province, Drenthe shares border with Lower Saxony, Drenthe located in the administrative territorial entity Dutch, Drenthe country Netherlands, Drenthe language used Drèents, Drenthe country Dutch'] Now please respond: In which country is Drenthe located?","[['Drenthe', 'country', 'Netherlands']]",Netherlands
275,MINTQA-POP,"Read the following context: ['Ohio legislative body state senator, Ohio inception 1803, Ohio tributary Cumberland River, Ohio located in the administrative territorial entity Herkimer County, Ohio located in or next to body of water Lake Erie, Ohio located in the administrative territorial entity New York Journal-American, Ohio located in or next to body of water Mississippi River, Ohio shares border with Michigan, Ohio country American ethnicity, Ohio office held by head of government list of governors of Ohio, Ohio instance of album, Ohio shares border with Southeast Michigan, Ohio country Canadians, Ohio located in or next to body of water Indiana, Ohio mouth of the watercourse United States of America, Ohio shares border with Ontario, Ohio located in the administrative territorial entity United States of America, Ohio capital Dayton, Ohio mouth of the watercourse Mississippi River, Ohio tributary Beaver River, Ohio shares border with Indiana, Ohio tributary Big Sandy, Ohio named after Ohio River, Ohio located in or next to body of water Muskingum, Ohio shares border with New York, Ohio located in the administrative territorial entity Indiana, Ohio shares border with Dearborn, Ohio tributary Monongahela River, Ohio located in the administrative territorial entity American, Ohio instance of U.S. state, Ohio located in or next to body of water Lake Michigan, Ohio shares border with Illinois, Ohio legislative body Ohio House of Representatives, Ohio operator United States Shipping Board, Ohio genre folk music, Ohio located in or next to body of water Ohio River, Ohio part of Midwestern United States, Ohio highest point Campbell Hill, Ohio located in the administrative territorial entity Ohio, Ohio country United States of America, Ohio located in the administrative territorial entity Illinois, Ohio shares border with Tennessee, Ohio capital Columbus, Ohio performer Stalley, Ohio located in or next to body of water West Virginia, Ohio record label Atlantic Records, Ohio tributary Kanawha, Ohio office held by head of government governor, Ohio contains Delaware, Ohio tributary Muskingum River, Ohio instance of State, Ohio contains summit, Ohio located in or next to body of water Cuyahoga River, Ohio capital Cleveland, Ohio shares border with West Virginia, Ohio country American, Ohio located in the administrative territorial entity Nova Scotia, Ohio legislative body Ohio Senate, Ohio located in or next to body of water Maumee River, Ohio shares border with Virginia'] Now please respond: In which country is Ohio located?","[['Ohio', 'country', 'United States of America']]",United States of America
276,MINTQA-POP,"Read the following context: ['Pyrénées-Orientales shares border with Ariège, Pyrénées-Orientales capital Perpignan, Pyrénées-Orientales shares border with Aude, Pyrénées-Orientales located in the administrative territorial entity Occitania, Pyrénées-Orientales instance of department of France, Pyrénées-Orientales located in the administrative territorial entity Occitanie, Pyrénées-Orientales country French of France, Pyrénées-Orientales shares border with Andorra, Pyrénées-Orientales capital Port-Vendres, Pyrénées-Orientales located in or next to body of water Mediterranean Sea, Pyrénées-Orientales country France, Pyrénées-Orientales instance of Department'] Now please respond: In which country is Pyrénées-Orientales located?","[['Pyrénées-Orientales', 'country', 'France']]",France
277,MINTQA-POP,"Read the following context: ['Columbus Blue Jackets league National Hockey League, Columbus Blue Jackets sport college ice hockey, Columbus Blue Jackets league National league, Columbus Blue Jackets home venue Nationwide Arena, Columbus Blue Jackets inception 2000, Columbus Blue Jackets sport hockey, Columbus Blue Jackets part of Western Conference, Columbus Blue Jackets sport ice hockey, Columbus Blue Jackets sport National Hockey League'] Now please respond: In which league do the Columbus Blue Jackets compete?","[['Columbus Blue Jackets', 'league', 'National Hockey League']]",National Hockey League
278,MINTQA-POP,"Read the following context: ['Anaheim Ducks home venue Honda Center, Anaheim Ducks headquarters location Anaheim, Anaheim Ducks sport National Hockey League, Anaheim Ducks sport National league, Anaheim Ducks league National Hockey League, Anaheim Ducks part of Pacific Division, Anaheim Ducks sport National, Anaheim Ducks inception 1993, Anaheim Ducks league National league, Anaheim Ducks sport ice hockey'] Now please respond: In which league do the Anaheim Ducks play?","[['Anaheim Ducks', 'league', 'National Hockey League']]",National Hockey League
279,MINTQA-POP,"Read the following context: ['Union Navy country American, Union Navy conflict American Civil War, Union Navy conflict Civil War, Union Navy followed by United States Navy'] Now please respond: In which conflict did the Union Navy participate?","[['Union Navy', 'conflict', 'American Civil War']]",American Civil War
280,MINTQA-POP,"Read the following context: [""Honshu described by source Brockhaus and Efron Encyclopedic Dictionary, Honshu part of four main islands of Japan, Honshu located in/on physical feature Pacific Ocean, Honshu located in the administrative territorial entity Niigata Prefecture, Honshu located in the administrative territorial entity Mie Prefecture, Honshu highest point Mount Fuji, Honshu located in the administrative territorial entity Gunma Prefecture, Honshu located in the administrative territorial entity Shizuoka Prefecture, Honshu located in or next to body of water Kanmon Straits, Honshu country Japan, Honshu has part(s) Chūbu region, Honshu located in the administrative territorial entity Chiba Prefecture, Honshu located in the administrative territorial entity Akita Prefecture, Honshu has part(s) Nagano Prefecture, Honshu located in the administrative territorial entity Aomori Prefecture, Honshu has part(s) Yamanashi Prefecture, Honshu has part(s) Gunma Prefecture, Honshu category for maps Category:Maps of Honshu, Honshu has part(s) Chiba Prefecture, Honshu located in the administrative territorial entity Yamagata Prefecture, Honshu part of Japanese archipelago, Honshu located in the administrative territorial entity Fukushima Prefecture, Honshu located in the administrative territorial entity Miyagi Prefecture, Honshu located in or next to body of water Sea of Japan, Honshu described by source New Encyclopedic Dictionary, Honshu topic's main category Category:Honshu, Honshu located in the administrative territorial entity Wakayama Prefecture, Honshu located in the administrative territorial entity Hiroshima Prefecture, Honshu located in the administrative territorial entity Okayama Prefecture, Honshu located in or next to body of water inland sea, Honshu country Japan Japan, Honshu located in or next to body of water Pacific Ocean, Honshu has part(s) Kantō region, Honshu located in the administrative territorial entity Hyōgo Prefecture, Honshu continent Asia, Honshu located in the administrative territorial entity Nagano, Honshu located in or next to body of water Seto Inland Sea""] Now please respond: In which country is Honshu located?","[['Honshu', 'country', 'Japan']]",Japan
281,MINTQA-POP,"Read the following context: [""Los Angeles Clippers headquarters location Los Angeles, Los Angeles Clippers inception 1970, Los Angeles Clippers sport Kentucky Wildcats, Los Angeles Clippers league NBA G League, Los Angeles Clippers part of Pacific Division, Los Angeles Clippers sport basketball, Los Angeles Clippers owned by Anschutz Entertainment Group, Los Angeles Clippers sport National Basketball Association, Los Angeles Clippers sport Duke Blue Devils men's basketball, Los Angeles Clippers league National Basketball Association, Los Angeles Clippers headquarters location Oceanside""] Now please respond: In which league do the Los Angeles Clippers play?","[['Los Angeles Clippers', 'league', 'National Basketball Association']]",National Basketball Association
282,MINTQA-POP,"Read the following context: [""Brooklyn Nets home venue Barclays Center, Brooklyn Nets sport college basketball, Brooklyn Nets sport National, Brooklyn Nets inception 1977, Brooklyn Nets located in the administrative territorial entity Brooklyn, Brooklyn Nets sport North Carolina Tar Heels men's basketball, Brooklyn Nets inception 1967, Brooklyn Nets part of Atlantic Division, Brooklyn Nets sport basketball, Brooklyn Nets sport National Basketball Association, Brooklyn Nets sport Duke Blue Devils men's basketball, Brooklyn Nets league National Basketball Association, Brooklyn Nets sport association football, Brooklyn Nets headquarters location Brooklyn, Brooklyn Nets league ABA, Brooklyn Nets home venue Prudential Center, Brooklyn Nets home venue Meadowlands Arena, Brooklyn Nets owned by Clara Wu Tsai, Brooklyn Nets league NBA G League""] Now please respond: In which league do the Brooklyn Nets play?","[['Brooklyn Nets', 'league', 'National Basketball Association']]",National Basketball Association
283,MINTQA-POP,Read the following context: ['Hobart country Australia'] Now please respond: Which country is Hobart located in?,"[['Hobart', 'country', 'Australia']]",Australia
284,MINTQA-POP,"Read the following context: ['Australian Football League country Australia, Australian Football League number of participants 18, Australian Football League sport rugby league, Australian Football League sport Australian rules football, Australian Football League sport football codes, Australian Football League inception 1858, Australian Football League sport handball, Australian Football League different from Australian Football League, Australian Football League number of participants 16, Australian Football League inception 1997, Australian Football League inception 1897'] Now please respond: What sport is associated with the Australian Football League?","[['Australian Football League', 'sport', 'Australian rules football']]",Australian rules football
285,MINTQA-POP,"Read the following context: ['Sarawak ethnic group Dayak, Sarawak language used Bisaya, Sarawak shares border with Brunei Darussalam, Sarawak office held by head of government governor, Sarawak shares border with Kalimantan, Sarawak language used Seru, Sarawak capital Brunei Darussalam, Sarawak legislative body Sarawak State Legislative Assembly, Sarawak office held by head of government Yang di-Pertua Negeri, Sarawak language used Narom, Sarawak shares border with Indonesia, Sarawak shares border with North Kalimantan, Sarawak country Malaysia, Sarawak shares border with Sabah, Sarawak language used Kelabit, Sarawak instance of country, Sarawak shares border with West Kalimantan, Sarawak sport football player, Sarawak legislative body legislative assembly, Sarawak located in the administrative territorial entity Malaysia, Sarawak legislative body State legislative assembly, Sarawak located in the administrative territorial entity East Malaysia, Sarawak capital Kuching, Sarawak located in the administrative territorial entity Federation of Malaya, Sarawak language used Melanau, Sarawak instance of crown colony'] Now please respond: What is the capital of Sarawak?","[['Sarawak', 'capital', 'Kuching']]",Kuching
286,MINTQA-POP,"Read the following context: ['Snowy Mountains located in the administrative territorial entity Victoria, Snowy Mountains mountain range Great Dividing Range, Snowy Mountains located in the administrative territorial entity New South Wales, Snowy Mountains instance of National Forest, Snowy Mountains country Australia, Snowy Mountains instance of mountain range'] Now please respond: In which country are the Snowy Mountains located?","[['Snowy Mountains', 'country', 'Australia']]",Australia
287,MINTQA-POP,"Read the following context: ['Baltimore County country United States of America, Baltimore County located in the administrative territorial entity Maryland, Baltimore County shares border with Harford County, Baltimore County head of government Johnny Olszewski, Baltimore County shares border with Anne Arundel County, Baltimore County shares border with Baltimore, Baltimore County capital Towson, Baltimore County shares border with York County, Baltimore County office held by head of government Executive of Baltimore County, Maryland'] Now please respond: In which country is Baltimore County located?","[['Baltimore County', 'country', 'United States of America']]",United States of America
288,MINTQA-POP,"Read the following context: [""Ukrainian Soviet Socialist Republic member of Treaty on the Creation of the Union of Soviet Socialist Republics, Ukrainian Soviet Socialist Republic located in time zone UTC+03:00, Ukrainian Soviet Socialist Republic head of government Ivan Kazanets, Ukrainian Soviet Socialist Republic office held by head of state Chairman of the Supreme Soviet of the Ukrainian SSR, Ukrainian Soviet Socialist Republic contains the administrative territorial entity Lubny Okruha, Ukrainian Soviet Socialist Republic contains the administrative territorial entity Zinovievsk Okrug, Ukrainian Soviet Socialist Republic category for people born here Category:Births in Ukraine, Ukrainian Soviet Socialist Republic coat of arms emblem of the Ukrainian Soviet Socialist Republic, Ukrainian Soviet Socialist Republic head of government Vitaliy Masol, Ukrainian Soviet Socialist Republic instance of administrative territorial entity, Ukrainian Soviet Socialist Republic continent Europe, Ukrainian Soviet Socialist Republic head of state Mykhailo Hrechukha, Ukrainian Soviet Socialist Republic capital Kharkiv, Ukrainian Soviet Socialist Republic described by source Great Soviet Encyclopedia, Ukrainian Soviet Socialist Republic head of state Mykhailo Burmystenko, Ukrainian Soviet Socialist Republic contains the administrative territorial entity Shepetivka Okruha, Ukrainian Soviet Socialist Republic follows Kingdom of Romania, Ukrainian Soviet Socialist Republic contains the administrative territorial entity Kamianets Okruha, Ukrainian Soviet Socialist Republic basic form of government soviet republic, Ukrainian Soviet Socialist Republic located in the present-day administrative territorial entity Moldova, Ukrainian Soviet Socialist Republic contains the administrative territorial entity Chernihiv Okruha, Ukrainian Soviet Socialist Republic founded by Ukrainian People's Republic, Ukrainian Soviet Socialist Republic contains the administrative territorial entity Romenskij okrug, Ukrainian Soviet Socialist Republic contains the administrative territorial entity Bila Tserkva Okruha, Ukrainian Soviet Socialist Republic head of government Nikita Khrushchev, Ukrainian Soviet Socialist Republic head of state Ivan Hrushetsky, Ukrainian Soviet Socialist Republic member of Soviet Union, Ukrainian Soviet Socialist Republic followed by Ukraine, Ukrainian Soviet Socialist Republic contains the administrative territorial entity Dnepropetrovsk Okrug, Ukrainian Soviet Socialist Republic country Soviet Union, Ukrainian Soviet Socialist Republic replaces South Russia""] Now please respond: Which country was the Ukrainian Soviet Socialist Republic a part of?","[['Ukrainian Soviet Socialist Republic', 'country', 'Soviet Union']]",Soviet Union
289,MINTQA-POP,"Read the following context: ['Baltimore director Marilyn Ness, Baltimore located in the administrative territorial entity Annapolis, Baltimore located in the administrative territorial entity Province of Maryland, Baltimore shares border with county, Baltimore shares border with Harford, Baltimore shares border with Philadelphia, Baltimore publication date 2018, Baltimore record label CTI Records, Baltimore cast member Imogen Poots, Baltimore country American ethnicity, Baltimore located in the administrative territorial entity Hamilton Township, Baltimore publication date 2023, Baltimore instance of Potwalloper, Baltimore part of Baltimore metropolitan area, Baltimore located in or next to body of water Susquehanna River, Baltimore head of government Catherine E. Pugh, Baltimore legislative body Baltimore City Council, Baltimore twinned administrative body Jersey, Baltimore located in or next to body of water Port of Baltimore, Baltimore located in the administrative territorial entity Maryland, Baltimore territory overlaps Baltimore urban area, Baltimore country Baltimore News-American, Baltimore significant event War of 1812, Baltimore part of suburb, Baltimore shares border with Carroll, Baltimore shares border with Baltimore County, Baltimore record label Victory Records, Baltimore shares border with Anne Arundel County, Baltimore inception 1907, Baltimore located in the administrative territorial entity Baltimore County, Baltimore part of the series NCIS, Baltimore located in the administrative territorial entity MD, Baltimore shares border with Baltimore, Baltimore shares border with Washington, D.C., Baltimore country United States of America, Baltimore office held by head of government list of mayors of Baltimore, Baltimore located in the administrative territorial entity Windsor County, Baltimore located in the administrative territorial entity County Longford, Baltimore ranking 23, Baltimore publication date January 1978, Baltimore country South Africa, Baltimore country American, Baltimore performer Nina Simone, Baltimore shares border with Howard, Baltimore country Ireland, Baltimore genre documentary film, Baltimore located in the administrative territorial entity County Cork, Baltimore performer Tori Amos, Baltimore owner of Oriole Park at Camden Yards, Baltimore located in or next to body of water Potomac River, Baltimore located in the administrative territorial entity United, Baltimore located in or next to body of water Patapsco River, Baltimore legislative body municipal council, Baltimore located in or next to body of water Chesapeake Bay'] Now please respond: In which country is Baltimore located?","[['Baltimore', 'country', 'United States of America']]",United States of America
290,MINTQA-POP,"Read the following context: ['Union Army followed by United States Army, Union Army dissolved, abolished or demolished date 1863, Union Army instance of infantry, Union Army conflict Spanish–American War, Union Army country Democratic Party, Union Army part of United States Army, Union Army country United States of America, Union Army conflict Philippine–American War, Union Army country American, Union Army conflict Battle of Shiloh, Union Army inception 1862, Union Army conflict American Civil War, Union Army shares border with Confederacy, Union Army conflict Civil War, Union Army conflict American Indian Wars'] Now please respond: Which conflict was the Union Army involved in?","[['Union Army', 'conflict', 'American Civil War']]",American Civil War
291,MINTQA-POP,"Read the following context: ['South Carolina continent North America, South Carolina sport softball, South Carolina shares border with Kentucky, South Carolina instance of U.S. state, South Carolina part of Southern States, South Carolina ethnic group Black people, South Carolina office held by head of government Governor of South Carolina, South Carolina country United States of America, South Carolina capital Columbia, South Carolina office held by head of government governor, South Carolina instance of State, South Carolina legislative body legislature of a constituent state, South Carolina country American, South Carolina part of Southern Colonies, South Carolina head of government Henry McMaster, South Carolina legislative body South Carolina General Assembly, South Carolina head of government Nikki Haley, South Carolina located in or next to body of water Atlantic Ocean, South Carolina language used Gullah, South Carolina capital Greenville, South Carolina shares border with Georgia, South Carolina part of Southern United States, South Carolina inception 1695, South Carolina country U-S-A!, South Carolina instance of United States district court, South Carolina shares border with Alabama, South Carolina located in the administrative territorial entity American, South Carolina capital Columbia, South Carolina shares border with Ohio, South Carolina shares border with Northern United States, South Carolina capital Charleston, South Carolina legislative body legislature, South Carolina shares border with North Carolina, South Carolina shares border with Tennessee, South Carolina named after Charles II of England, South Carolina shares border with West Virginia, South Carolina shares border with Virginia, South Carolina shares border with Florida'] Now please respond: Which country is South Carolina part of?","[['South Carolina', 'country', 'United States of America']]",United States of America
292,MINTQA-POP,"Read the following context: ['Nitra Region country Slovakia, Nitra Region capital Nitra'] Now please respond: Which country is the Nitra Region located in?","[['Nitra Region', 'country', 'Slovakia']]",Slovakia
293,MINTQA-POP,"Read the following context: ['Florida located in the administrative territorial entity Florida, Florida named after Florida, Florida instance of zona urbana in Puerto Rico, Florida capital of Florida, Florida country United States of America, Florida territory overlaps Barceloneta–Florida–Bajadero urban area'] Now please respond: Which country is Florida located in?","[['Florida', 'country', 'United States of America']]",United States of America
294,MINTQA-POP,"Read the following context: ['Hunter Valley country Australia, Hunter Valley located in the administrative territorial entity New South Wales, Hunter Valley capital Newcastle, Hunter Valley located in the administrative territorial entity Australia, Hunter Valley located in the administrative territorial entity Queensland'] Now please respond: In which country is Hunter Valley located?","[['Hunter Valley', 'country', 'Australia']]",Australia
295,MINTQA-POP,"Read the following context: ['North Carolina legislative body Council of state, North Carolina contains Montgomery, North Carolina country American ethnicity, North Carolina shares border with Tennessee, North Carolina office held by head of government lieutenant governor, North Carolina shares border with Maryland, North Carolina league USL Championship, North Carolina instance of State, North Carolina league Atlantic Coast Conference, North Carolina legislative body North Carolina Provincial Congress, North Carolina sport Texas Longhorns basketball, North Carolina office held by head of government Governor of North Carolina, North Carolina shares border with West Virginia, North Carolina legislative body North Carolina Supreme Court, North Carolina language used Algonquian language, North Carolina shares border with Virginia, North Carolina shares border with Florida, North Carolina located in or next to body of water Atlantic Ocean, North Carolina head of government Roy Cooper, North Carolina continent North America, North Carolina shares border with Pennsylvania, North Carolina language used Cherokee, North Carolina highest point Mount Mitchell, North Carolina shares border with Kentucky, North Carolina shares border with Arkansas, North Carolina inception 1907, North Carolina sport basketball, North Carolina contains Robeson, North Carolina shares border with South Carolina, North Carolina legislative body North Carolina General Assembly, North Carolina country United States of America, North Carolina office held by head of government Republican Party, North Carolina country United, North Carolina language used English, North Carolina shares border with Virginia Beach, North Carolina office held by head of government governor, North Carolina legislative body general assembly, North Carolina country American, North Carolina legislative body North Carolina Senate, North Carolina shares border with Southern United States, North Carolina legislative body North Carolina House of Representatives, North Carolina capital Fayetteville, North Carolina part of The Carolinas, North Carolina contains Yadkin County, North Carolina located in or next to body of water Atlantic Coast, North Carolina contains Wilkes, North Carolina located in the administrative territorial entity United States of America, North Carolina language used Gullah, North Carolina capital New Bern, North Carolina contains Surry, North Carolina language used Cherokee, North Carolina shares border with SC, North Carolina sport college football, North Carolina shares border with Georgia, North Carolina part of Southern United States, North Carolina member of Atlantic Coast Conference, North Carolina country U-S-A!, North Carolina located in the administrative territorial entity American, North Carolina capital Raleigh, North Carolina instance of U.S. state, North Carolina capital Columbia, North Carolina language used Carolina Algonquian'] Now please respond: Which country is North Carolina a part of?","[['North Carolina', 'country', 'United States of America']]",United States of America
296,MINTQA-POP,"Read the following context: ['Gippsland located in the administrative territorial entity Victoria, Gippsland instance of electoral unit, Gippsland located in the administrative territorial entity Victorian, Gippsland country Victoria, Gippsland country Australia, Gippsland located in the administrative territorial entity Victoria'] Now please respond: In which country is Gippsland located?","[['Gippsland', 'country', 'Australia']]",Australia
297,MINTQA-POP,"Read the following context: ['Nièvre located in the administrative territorial entity Burgundy, Nièvre capital Nevers, Nièvre mouth of the watercourse Somme, Nièvre instance of department of France, Nièvre country French of France, Nièvre shares border with Centre-Val de Loire, Nièvre mouth of the watercourse Loire, Nièvre country France, Nièvre located in the administrative territorial entity Entrains-sur-Nohain, Nièvre instance of Department, Nièvre located in the administrative territorial entity Bourgogne-Franche-Comté'] Now please respond: In which country is Nièvre located?","[['Nièvre', 'country', 'France']]",France
298,MINTQA-POP,Read the following context: ['Ko?ice Region country Slovakia'] Now please respond: In which country is the Ko?ice Region located?,"[['Ko?ice Region', 'country', 'Slovakia']]",Slovakia
